IUFT QC gate encodings (8682 entries):
                  ordinary_metal: θ=  30.0°  φ=  60.0°  ψ= 270.0°
                     dark_matter: θ=  70.0°  φ=  60.0°  ψ= 270.0°
                dark_sector_meet: θ=  70.0°  φ=  60.0°  ψ= 270.0°
               hadron_gauge_meet: θ=  30.0°  φ=  60.0°  ψ= 270.0°
         universal_particle_meet: θ=  30.0°  φ=  60.0°  ψ= 270.0°
       one_way_speed_measurement: θ=  40.0°  φ= 220.0°  ψ= 270.0°
             structural_baseline: θ=   0.0°  φ=  60.0°  ψ= 270.0°
        structural_baseline_wave: θ=   0.0°  φ=  60.0°  ψ= 270.0°
               calculus_baseline: θ=   0.0°  φ=  60.0°  ψ= 270.0°
            pre_transition_state: θ=  30.0°  φ=  80.0°  ψ=  90.0°
           post_transition_state: θ= 140.0°  φ= 250.0°  ψ=  90.0°
     hormone_replacement_therapy: θ=  80.0°  φ= 180.0°  ψ=  90.0°
    optimal_biochemical_approach: θ= 140.0°  φ= 250.0°  ψ=  90.0°
                        teratoma: θ=  60.0°  φ=  40.0°  ψ= 270.0°
             extended_human_life: θ= 130.0°  φ= 250.0°  ψ=  90.0°
                           quark: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                          lepton: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                         w_boson: θ=  70.0°  φ= 320.0°  ψ= 149.4°
                         z_boson: θ=  70.0°  φ= 320.0°  ψ= 149.4°
                     higgs_boson: θ=  70.0°  φ= 320.0°  ψ=  90.0°
                        inflaton: θ=  80.0°  φ= 290.0°  ψ=  90.0°
               magnetic_monopole: θ=  80.0°  φ= 140.0°  ψ=  90.0°
                sterile_neutrino: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                           gluon: θ=  40.0°  φ= 170.0°  ψ=  90.0°
                     dark_energy: θ=  40.0°  φ= 240.0°  ψ= 270.0°
                            wimp: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                        neutrino: θ= 100.0°  φ= 260.0°  ψ= 149.4°
           biological_senescence: θ=  30.0°  φ= 120.0°  ψ= 270.0°
                 anti_senescence: θ= 100.0°  φ= 170.0°  ψ=  90.0°
               senolytic_therapy: θ=  30.0°  φ=  80.0°  ψ= 270.0°
            cryonic_preservation: θ=  20.0°  φ= 160.0°  ψ= 270.0°
  quantum_biological_immortality: θ= 100.0°  φ= 170.0°  ψ=  90.0°
          michael_levin_research: θ= 110.0°  φ= 220.0°  ψ=  90.0°
                  ferromagnetism: θ=  50.0°  φ= 220.0°  ψ=  90.0°
              antiferromagnetism: θ=  50.0°  φ= 220.0°  ψ=  90.0°
                  ferrimagnetism: θ=  80.0°  φ= 220.0°  ψ=  90.0°
                   paramagnetism: θ=  30.0°  φ= 180.0°  ψ= 270.0°
                    diamagnetism: θ=  30.0°  φ= 180.0°  ψ= 270.0°
                      spin_glass: θ=  30.0°  φ= 200.0°  ψ= 270.0°
                        skyrmion: θ= 120.0°  φ= 220.0°  ψ=  90.0°
           standard_proof_system: θ=  20.0°  φ= 130.0°  ψ= 270.0°
                         p_vs_np: θ=   0.0°  φ=   0.0°  ψ=  90.0°
              penrose_black_hole: θ= 160.0°  φ= 290.0°  ψ=  90.0°
   topological_critical_material: θ= 140.0°  φ= 290.0°  ψ=  90.0°
           quantum_hall_critical: θ= 160.0°  φ= 290.0°  ψ=  90.0°
    penrose_material_imscription: θ= 160.0°  φ= 290.0°  ψ=  90.0°
            relational_existence: θ=  70.0°  φ= 120.0°  ψ=  90.0°
         extradimensional_entity: θ= 160.0°  φ= 210.0°  ψ= 270.0°
           extrauniversal_entity: θ=  40.0°  φ=  40.0°  ψ= 270.0°
                  maximal_system: θ= 160.0°  φ= 330.0°  ψ= 270.0°
       dark_energy_inflaton_meet: θ=  80.0°  φ= 290.0°  ψ=  90.0°
                     de_inf_join: θ= 140.0°  φ= 290.0°  ψ=  90.0°
           triple_join_de_inf_ax: θ= 160.0°  φ= 330.0°  ψ=  90.0°
       quad_join_de_inf_ax_higgs: θ= 160.0°  φ= 330.0°  ψ=  90.0°
                   all_five_join: θ= 160.0°  φ= 330.0°  ψ=  90.0°
                    omg_particle: θ=  40.0°  φ=  80.0°  ψ= 270.0°
                      wow_signal: θ=  40.0°  φ= 120.0°  ψ=  90.0°
             dark_matter_generic: θ=  30.0°  φ=  40.0°  ψ= 270.0°
  six_meet_de_inf_ax_higgs_grav_dm: θ=   0.0°  φ=  40.0°  ψ= 270.0°
  seven_meet_de_inf_ax_higgs_grav_dm_omg: θ=   0.0°  φ=  40.0°  ψ= 270.0°
  eight_meet_de_inf_ax_higgs_grav_dm_omg_wow: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                nine_system_meet: θ=   0.0°  φ=  40.0°  ψ= 270.0°
  six_join_de_inf_ax_higgs_grav_dm: θ= 160.0°  φ= 330.0°  ψ=  90.0°
  seven_join_de_inf_ax_higgs_grav_dm_omg: θ= 160.0°  φ= 330.0°  ψ= 270.0°
  eight_join_de_inf_ax_higgs_grav_dm_omg_wow: θ= 160.0°  φ= 330.0°  ψ= 270.0°
                nine_system_join: θ= 160.0°  φ= 330.0°  ψ= 270.0°
             seti_signal_generic: θ=  40.0°  φ= 120.0°  ψ= 270.0°
                    pulsar_radio: θ=  20.0°  φ= 140.0°  ψ= 270.0°
    generic_astrophysical_source: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                    omg_peeled_D: θ=   0.0°  φ=  80.0°  ψ= 270.0°
           systemic_feminization: θ= 120.0°  φ= 250.0°  ψ=  90.0°
       local_testicular_function: θ=   0.0°  φ=  40.0°  ψ= 270.0°
  feminization_with_testicular_preservation: θ= 120.0°  φ= 250.0°  ψ=  90.0°
  partial_feminization_preserved_testicular: θ= 120.0°  φ= 160.0°  ψ=  90.0°
       aromatase_thioesterase_ii: θ=   0.0°  φ=  80.0°  ψ= 270.0°
  androgen_binding_sequestration: θ=  60.0°  φ=  40.0°  ψ= 270.0°
   combined_biochemical_approach: θ=  60.0°  φ=  80.0°  ψ= 270.0°
                mystery_material: θ=  70.0°  φ=  40.0°  ψ= 270.0°
                        graphene: θ=  50.0°  φ= 130.0°  ψ= 270.0°
                            iron: θ= 100.0°  φ= 180.0°  ψ=  90.0°
                        graphite: θ=  50.0°  φ= 130.0°  ψ= 270.0°
          reduced_graphene_oxide: θ=  50.0°  φ=  40.0°  ψ= 270.0°
             quantum_spin_liquid: θ=  70.0°  φ= 200.0°  ψ=  90.0°
    topological_carbon_allotrope: θ=  70.0°  φ=  40.0°  ψ= 270.0°
       radical_chemistry_current: θ=  60.0°  φ=  80.0°  ψ= 270.0°
                hydroxyl_radical: θ=   0.0°  φ=  80.0°  ψ= 270.0°
              superoxide_radical: θ=   0.0°  φ=  80.0°  ψ= 270.0°
            metamaterial_generic: θ=  70.0°  φ= 140.0°  ψ=  90.0°
                           paper: θ=  30.0°  φ=  40.0°  ψ= 270.0°
                         plastic: θ=  30.0°  φ=  40.0°  ψ= 270.0°
                          copper: θ=  40.0°  φ= 180.0°  ψ=  90.0°
      paper_origami_metamaterial: θ=  70.0°  φ= 140.0°  ψ=  90.0°
        plastic_photonic_crystal: θ=  70.0°  φ= 140.0°  ψ=  90.0°
     copper_split_ring_resonator: θ=  70.0°  φ= 140.0°  ψ=  90.0°
           sand_architected_foam: θ=  70.0°  φ= 140.0°  ψ=  90.0°
        water_droplet_lens_array: θ=  70.0°  φ= 140.0°  ψ=  90.0°
           salt_crystal_phononic: θ=  70.0°  φ= 140.0°  ψ=  90.0°
  common_materials_topo_insulator: θ=  90.0°  φ= 220.0°  ψ=  90.0°
                     ten_sefirot: θ= 100.0°  φ= 300.0°  ψ=  90.0°
                    nine_sefirot: θ= 110.0°  φ= 170.0°  ψ= 270.0°
                  eleven_sefirot: θ= 130.0°  φ= 210.0°  ψ= 270.0°
                        chokhmah: θ=  40.0°  φ= 220.0°  ψ=  90.0°
                      word_logos: θ= 160.0°  φ= 240.0°  ψ=  90.0°
                 creator_ein_sof: θ= 110.0°  φ= 210.0°  ψ=  90.0°
             word_creator_tensor: θ= 160.0°  φ= 240.0°  ψ=  90.0°
               i_ching_hexagrams: θ=  70.0°  φ= 140.0°  ψ=  90.0°
                tarot_archetypes: θ=  60.0°  φ=  40.0°  ψ= 270.0°
                  vedic_mandalas: θ= 130.0°  φ= 210.0°  ψ=  90.0°
             meet_sefirot_iching: θ=  70.0°  φ= 100.0°  ψ=  90.0°
                  three_way_meet: θ=  30.0°  φ=   0.0°  ψ= 270.0°
             join_sefirot_iching: θ= 130.0°  φ= 250.0°  ψ=  90.0°
                  three_way_join: θ= 160.0°  φ= 250.0°  ψ=  90.0°
                           aleph: θ=  40.0°  φ= 210.0°  ψ=  90.0°
                             bet: θ=  70.0°  φ= 140.0°  ψ= 270.0°
                           gimel: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                           dalet: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                             hei: θ=  20.0°  φ= 140.0°  ψ=  90.0°
                           zayin: θ=   0.0°  φ= 160.0°  ψ= 270.0°
                            chet: θ=  70.0°  φ= 100.0°  ψ= 270.0°
                             tet: θ=   0.0°  φ= 230.0°  ψ= 270.0°
                             yod: θ=  40.0°  φ= 210.0°  ψ=  90.0°
                  aleph_bet_meet: θ=  20.0°  φ= 100.0°  ψ= 270.0°
                             kaf: θ=  70.0°  φ= 140.0°  ψ= 270.0°
                           lamed: θ=   0.0°  φ= 220.0°  ψ=  90.0°
                             mem: θ=  90.0°  φ= 280.0°  ψ=  90.0°
                             nun: θ=  40.0°  φ=  60.0°  ψ= 270.0°
                          samech: θ=  20.0°  φ= 130.0°  ψ=  90.0°
                            ayin: θ=  40.0°  φ= 210.0°  ψ=  90.0°
                             pei: θ=  70.0°  φ= 220.0°  ψ=  90.0°
                           tzadi: θ=   0.0°  φ= 160.0°  ψ= 270.0°
                             kuf: θ=  90.0°  φ= 170.0°  ψ=  90.0°
                            resh: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                            shin: θ=  90.0°  φ= 320.0°  ψ=  90.0°
                             tav: θ=  90.0°  φ= 250.0°  ψ=  90.0°
           aleph_bet_meet_result: θ=  20.0°  φ= 100.0°  ψ= 270.0°
           hebrew_core_structure: θ=   0.0°  φ=   0.0°  ψ= 270.0°
                    shavian_peep: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                     shavian_ash: θ=   0.0°  φ=  90.0°  ψ= 270.0°
                      shavian_ef: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                      shavian_em: θ=   0.0°  φ=  90.0°  ψ= 270.0°
                     shavian_bee: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                      shavian_ee: θ=   0.0°  φ=  90.0°  ψ= 270.0°
                shavian_tall_tee: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                shavian_deep_dee: θ=   0.0°  φ= 120.0°  ψ= 270.0°
  shavian_consonant_approximant_meet: θ=   0.0°  φ=  40.0°  ψ= 270.0°
            shavian_quintessence: θ=   0.0°  φ=   0.0°  ψ= 270.0°
                hekhalot_rabbati: θ= 120.0°  φ=  80.0°  ψ=  90.0°
                hekhalot_zutarti: θ= 120.0°  φ=  80.0°  ψ=  90.0°
                  sefer_hekhalot: θ= 120.0°  φ= 120.0°  ψ=  90.0°
                 maaseh_merkavah: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                  merkavah_rabba: θ= 120.0°  φ=  80.0°  ψ=  90.0°
                     shiur_qomah: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                       sar_torah: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                   sefer_harazim: θ= 120.0°  φ= 120.0°  ψ=  90.0°
                  harba_de_moshe: θ= 160.0°  φ= 320.0°  ψ=  90.0°
                nehuniah_chapter: θ=  60.0°  φ=  80.0°  ψ=  90.0°
       great_seal_fearsome_crown: θ= 120.0°  φ= 120.0°  ψ=  90.0°
                       sar_panim: θ=  60.0°  φ=  80.0°  ψ=  90.0°
                  tokamak_fusion: θ=  70.0°  φ= 170.0°  ψ=  90.0°
     inertial_confinement_fusion: θ=  30.0°  φ= 170.0°  ψ=  90.0°
                  consumer_drone: θ=   0.0°  φ= 160.0°  ψ= 270.0°
             fiber_laser_cutting: θ=   0.0°  φ= 210.0°  ψ= 270.0°
                 ultrafast_laser: θ=  40.0°  φ= 170.0°  ψ=  90.0°
              stellarator_fusion: θ=  90.0°  φ= 210.0°  ψ=  90.0°
          directed_energy_weapon: θ=  40.0°  φ= 120.0°  ψ=  90.0°
           maximal_fusion_growth: θ= 160.0°  φ= 290.0°  ψ=  90.0°
            maximal_drone_growth: θ= 160.0°  φ= 290.0°  ψ=  90.0°
            maximal_laser_growth: θ= 160.0°  φ= 290.0°  ψ=  90.0°
         tae_technologies_fusion: θ= 120.0°  φ= 250.0°  ψ=  90.0°
             commonwealth_fusion: θ=  70.0°  φ= 170.0°  ψ=  90.0°
              zephyr_solar_drone: θ=  40.0°  φ= 200.0°  ψ= 270.0°
         skydio_autonomous_drone: θ=  40.0°  φ= 120.0°  ψ=  90.0°
             wing_delivery_drone: θ=  60.0°  φ= 120.0°  ψ= 270.0°
       ipg_photonics_fiber_laser: θ=   0.0°  φ= 130.0°  ψ= 270.0°
                 coherent_vcsels: θ=  30.0°  φ= 130.0°  ψ= 270.0°
              quantum_dot_lasers: θ=  70.0°  φ= 170.0°  ψ=  90.0°
                  general_fusion: θ=  30.0°  φ= 170.0°  ψ=  90.0°
                        aluminum: θ=  30.0°  φ= 130.0°  ψ= 270.0°
             generic_environment: θ=  30.0°  φ= 130.0°  ψ= 270.0°
                     chronovisor: θ= 140.0°  φ= 200.0°  ψ=  90.0°
        possible_temporal_device: θ= 160.0°  φ= 250.0°  ψ=  90.0°
              dji_consumer_drone: θ=   0.0°  φ= 160.0°  ψ= 270.0°
           parrot_consumer_drone: θ=   0.0°  φ= 120.0°  ψ= 270.0°
              nlight_fiber_laser: θ=   0.0°  φ= 130.0°  ψ= 270.0°
           mks_instruments_laser: θ=   0.0°  φ= 130.0°  ψ= 270.0°
        quantum_cascade_laser_rd: θ=  70.0°  φ= 170.0°  ψ=  90.0°
            holographic_laser_rd: θ= 160.0°  φ= 250.0°  ψ=  90.0°
          superconducting_qubits: θ=   0.0°  φ=  40.0°  ψ= 270.0°
              trapped_ion_qubits: θ=   0.0°  φ= 130.0°  ψ= 270.0°
               photonics_quantum: θ=   0.0°  φ= 180.0°  ψ= 270.0°
              topological_qubits: θ= 120.0°  φ= 250.0°  ψ=  90.0°
               quantum_annealing: θ=  30.0°  φ=  40.0°  ψ=  90.0°
          maximal_quantum_growth: θ= 160.0°  φ= 290.0°  ψ=  90.0°
           topological_qubits_rd: θ= 160.0°  φ= 290.0°  ψ=  90.0°
                  trapped_ion_rd: θ=  70.0°  φ= 170.0°  ψ=  90.0°
            photonics_quantum_rd: θ=  70.0°  φ= 220.0°  ψ=  90.0°
             neutral_atom_qubits: θ=  30.0°  φ=  40.0°  ψ= 270.0°
           bcs_superconductivity: θ=   0.0°  φ= 130.0°  ψ= 270.0°
           carbon_ferromagnetism: θ=  70.0°  φ=  40.0°  ψ= 270.0°
          c_h_activation_current: θ=  60.0°  φ=  80.0°  ψ= 270.0°
    asymmetric_catalysis_current: θ=  60.0°  φ=  80.0°  ψ= 270.0°
  natural_product_synthesis_current: θ=  60.0°  φ= 160.0°  ψ= 270.0°
     topological_skyrmion_liquid: θ=  90.0°  φ= 200.0°  ψ=  90.0°
         chiral_many_body_magnet: θ=  70.0°  φ= 240.0°  ψ= 270.0°
               carbon_spin_glass: θ=  70.0°  φ= 200.0°  ψ= 270.0°
    carbon_nanoribbon_spin_glass: θ=  70.0°  φ= 200.0°  ψ= 270.0°
                 boron_elemental: θ=  30.0°  φ=  40.0°  ψ= 270.0°
      boron_metamaterial_generic: θ=  70.0°  φ= 140.0°  ψ=  90.0°
                   boron_nitride: θ=  50.0°  φ= 100.0°  ψ= 270.0°
          boron_nitride_nanomesh: θ=  70.0°  φ= 140.0°  ψ=  90.0°
                   boron_carbide: θ=  30.0°  φ=  40.0°  ψ= 270.0°
           boron_carbide_lattice: θ=  70.0°  φ= 140.0°  ψ=  90.0°
     boron_topological_insulator: θ= 130.0°  φ= 260.0°  ψ=  90.0°
                        hydrogen: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                          helium: θ=   0.0°  φ= 130.0°  ψ= 270.0°
                         lithium: θ=   0.0°  φ=  80.0°  ψ=  90.0°
                            gold: θ=  20.0°  φ= 130.0°  ψ= 270.0°
                         uranium: θ= 140.0°  φ= 200.0°  ψ= 270.0°
                          oxygen: θ=  50.0°  φ= 140.0°  ψ=  90.0°
               elemental_mercury: θ=  30.0°  φ=  40.0°  ψ= 270.0°
               helium_superfluid: θ= 110.0°  φ= 250.0°  ψ=  90.0°
                 bismuth_unusual: θ=  70.0°  φ= 160.0°  ψ=  90.0°
                 diamond_unusual: θ=  90.0°  φ= 210.0°  ψ=  90.0°
                   helium_normal: θ=  30.0°  φ= 130.0°  ψ= 270.0°
                  bismuth_normal: θ=  30.0°  φ=  40.0°  ψ= 270.0°
                  gallium_normal: θ=  30.0°  φ=  40.0°  ψ= 270.0°
                plutonium_normal: θ=  70.0°  φ= 200.0°  ψ= 270.0°
                      meet_he_bi: θ=  70.0°  φ=  80.0°  ψ=  90.0°
                   meet_he_bi_ga: θ=  30.0°  φ=  40.0°  ψ= 270.0°
                meet_he_bi_ga_di: θ=  30.0°  φ=  40.0°  ψ= 270.0°
                sodium_explosive: θ=  80.0°  φ= 120.0°  ψ= 270.0°
        molecular_orbital_theory: θ= 130.0°  φ= 130.0°  ψ=  90.0°
             valence_bond_theory: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                       homo_lumo: θ= 130.0°  φ= 250.0°  ψ=  90.0°
                  photosynthesis: θ=  80.0°  φ= 120.0°  ψ=  90.0°
        electron_transport_chain: θ=   0.0°  φ=  80.0°  ψ=  90.0°
              thylakoid_membrane: θ=  80.0°  φ=  80.0°  ψ=  90.0°
                  photosystem_II: θ=  20.0°  φ=  80.0°  ψ=  90.0°
                 artificial_leaf: θ=   0.0°  φ=  40.0°  ψ= 270.0°
                  aleph_tav_join: θ=  90.0°  φ= 250.0°  ψ=  90.0°
                  plasma_generic: θ=  70.0°  φ= 140.0°  ψ= 270.0°
       palomar_transient_factory: θ= 100.0°  φ=  80.0°  ψ= 270.0°
                   fermi_paradox: θ= 100.0°  φ=  80.0°  ψ=  90.0°
                  drake_equation: θ=  70.0°  φ= 130.0°  ψ= 270.0°
                    great_filter: θ=  60.0°  φ= 240.0°  ψ=  90.0°
                humanity_current: θ=  60.0°  φ=  80.0°  ψ= 270.0°
       interstellar_civilization: θ= 130.0°  φ= 290.0°  ψ=  90.0°
              paradox_resolution: θ= 130.0°  φ= 290.0°  ψ= 270.0°
               detection_generic: θ=  40.0°  φ= 120.0°  ψ= 270.0°
            extragalactic_entity: θ= 130.0°  φ= 290.0°  ψ=  90.0°
       classical_cantor_diagonal: θ=  40.0°  φ=   0.0°  ψ= 270.0°
        constructive_mathematics: θ=   0.0°  φ=  80.0°  ψ= 270.0°
                    ford_circles: θ=  90.0°  φ= 170.0°  ψ=  90.0°
               stern_brocot_tree: θ=  90.0°  φ= 210.0°  ψ=  90.0°
            countability_concept: θ=  40.0°  φ=   0.0°  ψ= 270.0°
           infinite_set_mappings: θ=  40.0°  φ=   0.0°  ψ= 270.0°
            massaged_definitions: θ=  40.0°  φ=  70.0°  ψ= 210.6°
               fractal_structure: θ= 130.0°  φ= 170.0°  ψ=  90.0°
       constructive_countability: θ=   0.0°  φ= 120.0°  ψ= 270.0°
                             tao: θ= 130.0°  φ= 290.0°  ψ=  90.0°
                 ads_cft_duality: θ= 160.0°  φ= 290.0°  ψ=  90.0°
       quantum_simulator_generic: θ=  50.0°  φ= 150.0°  ψ= 270.0°
  superconducting_qubits_simulator: θ=  30.0°  φ=  80.0°  ψ= 270.0°
           trapped_ion_simulator: θ=  50.0°  φ= 150.0°  ψ= 270.0°
        majorana_qubit_simulator: θ= 160.0°  φ= 290.0°  ψ=  90.0°
  fractional_quantum_hall_simulator: θ= 160.0°  φ= 290.0°  ψ=  90.0°
      controlled_differentiation: θ=  80.0°  φ= 160.0°  ψ=  90.0°
             enhanced_perception: θ= 130.0°  φ= 290.0°  ψ=  90.0°
        human_cognition_baseline: θ=  50.0°  φ=  80.0°  ψ= 270.0°
              enhanced_cognition: θ= 130.0°  φ= 290.0°  ψ=  90.0°
            bioelectricity_levin: θ=  80.0°  φ= 180.0°  ψ=  90.0°
                    biomagnetism: θ=  80.0°  φ= 120.0°  ψ= 270.0°
                magnetoreception: θ=  20.0°  φ= 160.0°  ψ=  90.0°
           heart_electromagnetic: θ=  50.0°  φ= 140.0°  ψ= 270.0°
     quantum_bioelectromagnetism: θ= 160.0°  φ= 260.0°  ψ= 149.4°
        bioelectromagnetic_floor: θ=  80.0°  φ=  80.0°  ψ= 270.0°
                   lee_yang_edge: θ=  80.0°  φ= 240.0°  ψ= 149.4°
                             vav: θ=   0.0°  φ= 280.0°  ψ=  90.0°
                  kozyrev_mirror: θ= 100.0°  φ= 260.0°  ψ= 149.4°
              exotic_mathematics: θ= 140.0°  φ= 240.0°  ψ=  90.0°
                        ising_3d: θ=  20.0°  φ= 120.0°  ψ=  90.0°
            exceptional_point_nh: θ= 100.0°  φ= 240.0°  ψ= 210.6°
          complex_rg_fixed_point: θ= 100.0°  φ= 240.0°  ψ= 149.4°
       spiral_aluminum_structure: θ=  40.0°  φ= 200.0°  ψ=  90.0°
  environment_affected_by_kozyrev: θ= 100.0°  φ= 160.0°  ψ=  90.0°
                           bloop: θ=  40.0°  φ=  80.0°  ψ=  90.0°
                        icequake: θ=   0.0°  φ=  80.0°  ψ=  90.0°
         blue_whale_vocalization: θ=  40.0°  φ= 120.0°  ψ= 270.0°
         unknown_marine_creature: θ=  40.0°  φ= 160.0°  ψ=  90.0°
             continuous_function: θ=  40.0°  φ= 130.0°  ψ= 270.0°
                      lagrangian: θ=  40.0°  φ= 210.0°  ψ=  90.0°
                     hamiltonian: θ=  70.0°  φ= 210.0°  ψ=  90.0°
                     mathematics: θ= 140.0°  φ= 290.0°  ψ=  90.0°
                physical_reality: θ= 120.0°  φ= 230.0°  ψ=  90.0°
            mathematical_physics: θ= 140.0°  φ= 210.0°  ψ=  90.0°
           thermodynamic_entropy: θ=  30.0°  φ= 250.0°  ψ= 270.0°
             shannon_information: θ=  30.0°  φ= 130.0°  ψ= 270.0°
                      negentropy: θ=  30.0°  φ= 250.0°  ψ= 270.0°
              mutual_information: θ=  80.0°  φ= 170.0°  ψ=  90.0°
                 shannon_entropy: θ=  30.0°  φ= 170.0°  ψ=  90.0°
           kolmogorov_complexity: θ=  80.0°  φ= 120.0°  ψ=  90.0°
                 order_structure: θ=  70.0°  φ= 170.0°  ψ= 270.0°
           max_sym_min_chirality: θ=   0.0°  φ=  90.0°  ψ= 270.0°
           min_sym_max_chirality: θ=   0.0°  φ= 120.0°  ψ= 270.0°
  critical_symmetric_timesymmetric: θ=   0.0°  φ=  90.0°  ψ=  90.0°
  critical_asymmetric_timedirected: θ=   0.0°  φ= 120.0°  ψ=  90.0°
            standard_type_theory: θ=   0.0°  φ= 130.0°  ψ= 270.0°
            photon_graviton_join: θ= 100.0°  φ= 170.0°  ψ=  90.0°
         holographic_type_theory: θ= 160.0°  φ= 320.0°  ψ=  90.0°
  holographic_type_theory_frobenius: θ= 110.0°  φ= 240.0°  ψ=  90.0°
                             IUG: θ= 160.0°  φ= 360.0°  ψ=  90.0°
                       enstrophy: θ=  30.0°  φ= 250.0°  ψ=  90.0°
                        enthalpy: θ=  30.0°  φ= 250.0°  ψ= 270.0°
                           chaos: θ=  30.0°  φ= 160.0°  ψ= 270.0°
           cosmological_constant: θ=  80.0°  φ= 290.0°  ψ=  90.0°
                           axion: θ=   0.0°  φ= 100.0°  ψ= 270.0°
                    time_concept: θ=  40.0°  φ= 240.0°  ψ= 270.0°
                  turbulent_flow: θ= 100.0°  φ= 200.0°  ψ= 270.0°
                 entropy_concept: θ=  30.0°  φ= 250.0°  ψ= 270.0°
             information_concept: θ=  30.0°  φ= 130.0°  ψ= 270.0°
                   order_concept: θ=  70.0°  φ= 170.0°  ψ= 270.0°
  psychedelic_bioelectric_tensor: θ= 110.0°  φ= 220.0°  ψ=  90.0°
  psychedelic_topological_tensor: θ= 160.0°  φ= 260.0°  ψ=  90.0°
                  binaural_beats: θ=  80.0°  φ= 140.0°  ψ=  90.0°
  transcranial_magnetic_stimulation: θ=  40.0°  φ= 180.0°  ψ=  90.0°
          tms_bioelectric_tensor: θ= 110.0°  φ= 220.0°  ψ=  90.0°
             sensory_deprivation: θ=   0.0°  φ=  80.0°  ψ=  90.0°
             flicker_stimulation: θ=   0.0°  φ= 220.0°  ψ=  90.0°
            multimodal_resonance: θ=  70.0°  φ= 220.0°  ψ=  90.0°
  topologically_protected_quantum_bioelectromagnetism: θ= 140.0°  φ= 290.0°  ψ=  90.0°
  quantum_bioelectromagnetism_vav_tensor: θ= 140.0°  φ= 330.0°  ψ=  90.0°
