0x5b8fd0	⊢⊞⊞⋈⋈⋈⊞⋈⋈⊞⊞⊞⊙
0x5b933b	⊢⊤∈⋈⊤∈⋈≺⋈⊤∈⋈⊤∈∋⋈∋⋈∋⋈⊣⊤∈⊞⊤⊞∈∋⊞⋈⊞∋⊤∈⊞⊥⋈⊞⊤∈⊤∈⋈⊞⊞∈∋⋈≺⊤∈∋⊞⊞∋⋈⊞⊤∈⊞⋈⊞⊞⊤∈∋⋈⊞≺
0x5b93ec	⊢⋈⊤∈⊤∈⋈⋈⊤∈⊤∈≺⊤∈⊞⊞⊤⋈∈∋⊞⋈⊞∋⊤∈⋈⊞⋈∈⊞⊤∈⊞⊞∈⋈≺⋈⊤∈∋⊞⊞∋⋈⊞⊤∈⊞⊞⊞⊤∈∋⊞⊞⋈≺∋⋈∋⋈∋⊞⊣⊞⊞⊤⊥⊞⊞≺
0x5b94ba	⊢⊤∈⊣⊤∈⋈≺⋈⋈⋈⋈⋈⋈⊤∈∋⋈⋈⋈⊤∈⊞⊤∈≺∋⋈⋈⋈⊤∈⊞⊤∈≺∋⊤∈∋⊤∈⊞⊞⊞⊞⊞∋⋈⋈⋈⋈⊞⊞⊤∈∋⊣⋈⊞⊞⊞⊞⊞≺⊤∈∈⊞⊞⊞∋⋈⋈⋈⊤∈⋈∋⋈⊤∈⋈⋈⊞⊤∈⊞≺⋈∋⋈∋⊞⊞⊤∈∋⊣⊣∋⋈⊞⊞∋⊞⋈⊞∈⋈⋈⋈⋈⊞∋⊤⋈⊥⊞⊤∈⊞∋⊞⊤∈⋈⋈⋈⊤⊞∋⋈⋈⋈⋈⊤∈⋈⋈⋈⋈⊞⊞⋈⊤∈∋⊤∈⊣⋈⋈⋈⋈⋈⋈⊞⋈⋈⊤∈⋈⋈∋⊞∈⋈⊞⋈⊞⊞⊞⊞⊤∈⋈⋈⋈⋈⊤⊥⋈⋈⊤⊥⊞⊤⊥⊞⊥⊤⊥≺⋈⋈≻∋⊞⊤∈⋈⋈⋈⋈⊤∈⋈⋈⊞⋈⋈⊞⊞⊞⋈⊤∈⊞∋⋈⊤⋈⋈⋈⊞⋈⊤⋈⋈⋈⊞⊞⊤∈⊞≺⋈⋈∋⋈⋈⊞⋈⋈⊞⊞⊞⋈⊤∈⊞∋⋈⊞⊤⊥⋈⋈⋈⋈⊤⊞⋈⋈⋈⊞⊞⊤∈⊞≺⋈⊞∋⊞⊤∈∋⋈⊤⋈⋈⋈⊞⋈⊞⊤∈⊞⋈∋⊤⋈⋈⋈⊞⊤∈⊞⋈⋈⋈⋈⊞⊞⋈⊞⊞⋈⋈⋈≻⋈⋈≺⋈⊞∋⊞⊤∈∋⋈⊤⋈⋈⋈⊞⋈⊞⊤∈⊞⋈∋⊤⋈⋈⋈⊞⊤∈⋈⊞⊞⋈⋈⋈⊞⊞⊞⋈∋⊤∈∋⊤∈⋈⊞⊤⋈⊥⊞⋈⊞⋈⋈⋈⋈⋈⋈∋⊤∈⋈⊞⋈⋈⋈⊤⊥∈⋈∋⋈⋈⋈⋈⊞⋈⋈⊤⊥⊞⋈⊥⋈⋈⋈⊞⋈⋈⋈⊤⊞⊥⋈⋈⋈⊥⋈⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⊞⋈⋈⋈⊤⊞⊥⋈⋈⋈⊥⋈⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⊞⋈⋈⋈⋈⊤⊥⊞⋈⋈⊥⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⋈⊤⊥⊞⋈⊥⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⋈⊤⋈⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⋈⊤⊥⊞⋈⊥⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥⋈⋈∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊤⊥⊞⋈⊥⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⋈⊤⋈⊥∈⋈∋⋈⋈⋈⋈⋈⊤⊥⊥⋈⋈⋈⋈⋈⊤⊥⊞⊥⋈⋈⋈⋈⊤⊥⋈⊥⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⋈⊤⋈⊥⋈⋈⋈∈⋈∋⋈⋈⋈⋈⊤⊥⋈⊥⋈⋈⋈⋈⊤⊥⋈⊥⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥⋈∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈≺⋈⊤∈⋈⋈⋈⋈⊤⊞⋈⊥∈⋈∋⋈⋈⋈⋈⊞⋈⋈⊤⊥⊞⋈⊥⋈⋈⋈⊞⊞⋈⋈⋈⊤⊥⊥⋈⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊤⊥∈⋈∋⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊤⊥⊞⊥⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⊞⊞⋈⋈⋈⋈⋈⊤⊥⊥⋈⋈⋈⋈⊤⊥⊥⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⋈⊤⊥⋈∈⋈∋⋈⋈⋈⋈⊞⊤⊥⋈⋈∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⊞⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥∈⋈∋⋈⋈⋈⋈⋈⊞⊤⊥⋈∈⋈∋⋈⋈⋈⋈⋈∋⋈∋⋈≻⊤∈⋈⊤⋈∈⊞⊞⊞⊞⊞⊞⊞⊞⋈∋⋈⋈⋈⊞⊞⊤⋈⊥⊥⋈⊥⋈⋈⋈⋈⋈⋈⊤⋈⊞⊤⊞⊞⊞⊥⋈⊞⊞⋈⋈⊞⊞⊤∈⊞⊤∈⊞⊞⊤⊥⊥⋈⊥⋈⋈⊞⊞∋⊤∈⊞⊤∈⊞⊞⋈⋈⊙∋⊞⋈⋈⋈⋈⋈⋈⊣⋈⋈⊞⋈⋈⋈⋈⋈⋈≺∋≻
0x5b94d5	⊢⊤∈⊤∈⋈⋈⋈⋈⊣⋈⊤∈⋈⋈≺⋈⋈⋈≺⊣∋⋈⋈≻⊡∈⋈⋈≺⋈⊣⋈⋈⋈⋈⋈⋈⊞⋈≻⊤∈⋈∋⋈⋈⊤∈⊤∈⋈⋈⊤∈∋⋈⊙≺⋈⊤∈∋⋈⊙∋⊤∈⋈∋⊤∈⊡∈⋈⊙⊡∋⊞⋈⋈⋈⋈⊣≻≺≻≺
0x5b9519	⊢⋈⋈⋈⋈⋈⋈⊞⋈⊞⋈⊞⊞⋈⋈≻⋈⊤∈⋈⊞⋈⊞⊞∈∋⊞∋⋈⋈⋈⋈≻⋈⊞⋈⋈⋈⋈⋈⋈⊣⊞⋈⋈⋈⋈⋈⋈⊤∈⊤∈⋈⊤∈⋈⋈⋈⊞⊥⊞⊤∈⊞≺∋⊞≺⊞⊞⋈≻⋈∋⊤⋈⋈⊥⊥⊞⋈⋈≻⋈⋈⊞⊞⋈⋈⋈≻⋈⋈⋈⋈≻⋈⋈⋈⋈⋈⋈⋈≻⋈⋈⋈⋈≻⋈≺
0x5b96b7	⊢⊤∈⋈⋈⊤∈⋈⊤∈⋈⋈⊤∈⊤∈≺⋈⊣⊤∈⊞⊞⊤⋈∈∋⊞⋈⊞∋⊤∈⋈⊞⋈∈⊞⊤∈⊞⊞∈⋈≺⋈⊤∈∋⊞⊞∋⋈⊞⊤∈⊞⊞⊞⊤∈∋⊞⊞⋈≺∋⋈∋⋈∋⊞⊣⊞⊞⊤⊥⊞⊞≺
0x5b9797	⊢⊤∈⋈⋈⊤∈⋈⊤∈⋈⋈⊤∈⋈⋈⊤∈≺⋈⊣⋈⊞∋≺⊤∈⊞⊤⊞∈∋⊞⋈⊞∋⊤∈⋈⊞⋈⊤∈⊞⋈⋈⊥⊞⊥⋈⊤∈⊞⊤∈≺⊤∈∋⊞⊞∋⋈⊞⋈⊤∈⊞⋈⊞⊞⊤∈⊞≺∋⋈∋⋈⋈⋈⋈⊣⊞≺⋈≺
0x5b987e	⊢⊤∈⊤∈⋈⋈⊞⋈⊞⊞⊥⊣⋈⊣⊞⊣
0x5b98a7	⊢⊤∈⋈⊞⋈⋈⋈⋈≻⋈⊞⊞⋈⊣⊞⊣
0x5b98d8	⊢⊤∈⋈⊤∈⋈⊤∈⋈⊞⊤∈⋈⊤∈≺⊞≺⋈∋⋈⊣⊤∈⊞⊤⊞∈∋⊞⋈⊞⊞∋⊤∈⋈⊞⊤∈⋈⊞⋈⊥⊞⊥⊤∈⊞⊤∈≺⊤∈∋⊞⊞⊞∋⋈⊞⊤∈⊞⋈⊞⊞⊤∈∋⋈≺
0x5b9998	⊢⊤∈⋈⊞⊤∈⋈⊤∈⋈⊤∈⋈⋈⊤∈≺⊞≺⊤∈⊞⊤⊞∈∋⊞⋈⊞∋⊤∈⊞⊞∈⋈⊞⊞⊥⊤∈⊞⋈⊤∈≺⊤∈∋⊞⊞⊞∋⋈⊞⊤∈⊞⊞⊞⊤∈⋈≺∋⊞∋⋈⊣⋈⋈≺
0x5b9a5b	⊢⊤∈⋈⊞⋈⋈⋈⋈≻⋈⊞⊞⋈⊣⊞⊣
0x5b9a8b	⊢⊤∈⋈≻⋈⋈≻⋈⊞⊞⊞⊞⊞⊣⊞⊣
0x5b9ab9	⊢⊤∈⋈≻⋈⊤∈⋈⊤∈⋈⊞⊤∈⋈⊤∈≺⊞≺⋈∋≺⊤∈⊞⊤⊞∈∋⊞⋈⊞⊞∋⊤∈⋈⊞⊤∈⋈⊞⋈⊥⊞⊥⊤∈⊞⊤∈≺⊤∈∋⊞⊞⊞∋⋈⊞⊤∈⊞⋈⊞⊞⊤∈∋⋈∋⊞∋⋈⊣
0x5b9b8c	⊢⊤∈⊤∈⊤∈⋈⊞⊤∈⋈⊤∈≺⊞≺⋈∋⋈⊣⊤∈⊞⊤⊞∈∋⊞⋈⊞⊞∋⊤∈⋈⊞⊤∈⋈⊞⋈⊥⊞⊥⊤∈⊞⊤∈≺⊤∈∋⊞⊞⊞∋⋈⊞⊤∈⊞⋈⊞⊞⊤∈∋⋈≺
0x5b9c49	⊢⋈⋈⋈⊤∈⊤∈⊤∈⋈⊞⊤∈⋈⊤∈≺⊞∋≺⊤∈⊞⊤⊞∈∋⊞⋈⊞⊞∋⊤∈⋈⊞⊤∈⊞⋈⋈⊥⊞⊥⊤∈⊞⊤∈≺⊤∈∋⊞⊞⊞∋⋈⊞⊤∈⊞⋈⊞⊞⊤∈∋⊞⊞⊥⋈∋⋈⊣
0x5b9d1e	⊢⋈⋈⋈⋈⊞⊤∈⋈⋈⊙⊤∈⊡⋈⋈⋈⋈⋈⋈⋈≺⋈⋈∋⊞⋈⋈⊣⋈⋈≻⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x769752	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x7697f5	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76996a	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x769bde	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x769c99	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x769ed1	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x769f8c	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76a222	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76a2c5	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76a5b7	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76a672	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76a72d	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76aa15	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76aac6	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76ab77	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76acec	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76ae61	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76afd6	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76b14b	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76b2c0	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76b47c	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76b5f1	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76b7ad	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76b922	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76ba97	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76bc53	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76bdc8	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76bf3d	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76c0b2	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76c348	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76c504	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76c5a7	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76c763	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76c8d8	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x76ca4d	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x7c728b	⊢⋈⊤∈⊣⋈⋈⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⋈⊣
0x7c6128	⊢⋈⊤∈⊣⋈⋈⊞⊞⋈⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⋈⊣
0x7c7135	⊢⋈⊤∈⊣⋈⋈⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⋈⊣
0x7690f6	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x768461	⊢⋈⊤∈⊣⊞⊞⊞⋈⊞⋈⊞⋈⊞⊞⊞⋈⋈≻⊞⊣
0x7ba280	⊢⊤∈⋈⋈⋈⊣⋈⋈⋈⊞≻⊞⊞⋈≻
0x7ba2c0	⊢⋈⋈⋈⊤∈⋈⋈⋈⋈⋈⋈⋈⊣⊤∈⋈⊣⋈⋈⋈≻⊞⊞⋈≻
